timeSec,estimatedX,estimatedY,estimatedHeadingDeg,truthX,truthY,truthHeadingDeg,translationErrorMeters,headingErrorDegrees
1.496,0.00000,0.00000,0.045,0.13109,-0.34927,-7.470,0.37306,7.514
1.519,0.00000,0.00000,0.045,0.14488,-0.35108,-7.470,0.37980,7.514
1.535,0.00000,0.00000,0.045,0.15417,-0.35230,-7.470,0.38455,7.514
1.559,0.00000,0.00000,0.043,0.16823,-0.35414,-7.470,0.39207,7.512
1.578,0.00000,0.00000,0.044,0.18005,-0.35569,-7.470,0.39866,7.514
1.598,0.00000,0.00000,0.045,0.19195,-0.35725,-7.470,0.40555,7.514
1.618,0.00000,0.00000,0.047,0.20394,-0.35882,-7.470,0.41273,7.517
1.636,0.00000,0.00000,0.049,0.21358,-0.36009,-7.470,0.41866,7.519
1.658,0.00000,0.00000,0.051,0.22812,-0.36199,-7.470,0.42787,7.521
1.676,0.00000,0.00000,0.050,0.23786,-0.36327,-7.470,0.43421,7.520
1.695,0.00000,0.00000,0.048,0.25008,-0.36487,-7.470,0.44235,7.518
1.718,0.00000,0.00000,0.050,0.26482,-0.36680,-7.470,0.45241,7.520
1.739,0.00000,0.00000,0.051,0.27715,-0.36842,-7.470,0.46103,7.520
1.759,0.00000,0.00000,0.049,0.28952,-0.37004,-7.470,0.46985,7.519
1.779,0.00000,0.00000,0.047,0.30193,-0.37167,-7.470,0.47885,7.517
1.799,0.00000,0.00000,0.047,0.31438,-0.37330,-7.470,0.48804,7.517
1.818,0.00000,0.00000,0.047,0.32685,-0.37494,-7.470,0.49740,7.517
1.838,0.00000,0.00000,0.047,0.33685,-0.37625,-7.470,0.50501,7.517
1.857,0.00000,0.00000,0.048,0.34937,-0.37789,-7.470,0.51465,7.518
1.879,0.00000,0.00000,0.048,0.36443,-0.37986,-7.470,0.52641,7.518
1.899,0.00000,0.00000,0.047,0.37700,-0.38151,-7.470,0.53636,7.516
1.919,0.00000,0.00000,0.047,0.38960,-0.38316,-7.470,0.54644,7.516
1.938,0.00000,0.00000,0.046,0.39968,-0.38449,-7.470,0.55460,7.516
1.956,0.00000,0.00000,0.046,0.41230,-0.38614,-7.470,0.56489,7.516
1.978,0.00000,0.00000,0.046,0.42747,-0.38813,-7.470,0.57739,7.516
1.995,0.00000,0.00000,0.046,0.43759,-0.38946,-7.470,0.58580,7.516
2.015,0.00000,0.00000,0.044,0.45026,-0.39112,-7.470,0.59641,7.514
2.040,0.00000,0.00000,0.041,0.46547,-0.39311,-7.470,0.60926,7.511
2.056,0.00000,0.00000,0.042,0.47562,-0.39444,-7.470,0.61790,7.511
2.076,0.00000,0.00000,0.043,0.48831,-0.39611,-7.470,0.62877,7.513
2.096,0.00000,0.00000,0.044,0.50102,-0.39777,-7.470,0.63972,7.514
2.118,0.00000,0.00000,0.046,0.51373,-0.39944,-7.470,0.65074,7.516
2.138,0.00000,0.00000,0.046,0.52899,-0.40144,-7.470,0.66407,7.516
2.156,0.00000,0.00000,0.048,0.53917,-0.40278,-7.470,0.67300,7.518
2.178,0.00000,0.00000,0.050,0.55445,-0.40478,-7.470,0.68648,7.519
2.198,0.00000,0.00000,0.049,0.56719,-0.40645,-7.470,0.69778,7.519
2.218,0.00000,0.00000,0.049,0.57993,-0.40812,-7.470,0.70914,7.518
2.239,0.00000,0.00000,0.051,0.59267,-0.40979,-7.470,0.72055,7.520
2.258,0.00000,0.00000,0.049,0.60542,-0.41146,-7.470,0.73201,7.519
2.275,0.00000,0.00000,0.048,0.61563,-0.41280,-7.470,0.74122,7.518
2.298,0.00000,0.00000,0.048,0.63093,-0.41481,-7.470,0.75508,7.518
2.315,0.00000,0.00000,0.047,0.64114,-0.41615,-7.470,0.76436,7.517
2.338,0.00000,0.00000,0.049,0.65646,-0.41815,-7.470,0.77832,7.518
2.359,0.00000,0.00000,0.049,0.66922,-0.41983,-7.470,0.79001,7.519
2.376,0.00000,0.00000,0.052,0.67944,-0.42117,-7.470,0.79938,7.522
2.395,0.00000,0.00000,0.055,0.69221,-0.42284,-7.470,0.81114,7.525
2.415,0.00000,0.00000,0.054,0.70498,-0.42452,-7.470,0.82293,7.524
2.435,0.00000,0.00000,0.056,0.71775,-0.42619,-7.470,0.83475,7.525
2.456,0.00000,0.00000,0.058,0.73052,-0.42787,-7.470,0.84660,7.528
2.480,0.00000,0.00000,0.057,0.74586,-0.42988,-7.470,0.86087,7.527
2.497,0.00000,0.00000,0.056,0.75608,-0.43122,-7.470,0.87040,7.526
2.519,0.00000,0.00000,0.055,0.77141,-0.43323,-7.470,0.88474,7.525
2.539,0.00000,0.00000,0.056,0.78419,-0.43490,-7.470,0.89671,7.526
2.558,0.00000,0.00000,0.055,0.79697,-0.43658,-7.470,0.90872,7.525
2.575,0.00000,0.00000,0.057,0.80720,-0.43792,-7.470,0.91834,7.526
2.596,0.00000,0.00000,0.055,0.81998,-0.43959,-7.470,0.93038,7.525
2.615,0.00000,0.00000,0.055,0.83276,-0.44127,-7.470,0.94245,7.525
2.639,0.00000,0.00000,0.055,0.84810,-0.44328,-7.470,0.95696,7.525
2.659,0.00000,0.00000,0.054,0.86089,-0.44496,-7.470,0.96908,7.524
2.676,0.00000,0.00000,0.055,0.87112,-0.44630,-7.470,0.97879,7.524
2.698,0.00000,0.00000,0.052,0.88390,-0.44798,-7.470,0.99094,7.522
2.717,0.00000,0.00000,0.052,0.89669,-0.44965,-7.470,1.00311,7.522
2.737,0.00000,0.00000,0.049,0.90947,-0.45133,-7.470,1.01530,7.519
2.756,0.00000,0.00000,0.048,0.92226,-0.45301,-7.470,1.02751,7.518
2.778,0.00000,0.00000,0.048,0.93505,-0.45468,-7.470,1.03974,7.518
2.799,0.00000,0.00000,0.047,0.95039,-0.45669,-7.470,1.05443,7.517
2.819,0.00000,0.00000,0.046,0.96318,-0.45837,-7.470,1.06669,7.516
2.836,0.00000,0.00000,0.046,0.97341,-0.45971,-7.470,1.07651,7.515
2.858,0.00000,0.00000,0.045,0.98876,-0.46172,-7.470,1.09125,7.515
